dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
pang_movie,entropy-sublinear-ae-is,0.2935761617371841,roberta,0.8380749298,0.8797556479,0.8619349825,0.8892960741,0.8751544301,0.8425394995,0.8732368685,0.8948617965,0.8832564959,0.8901835030,
pang_movie,gmm-is,0.299818671840805,roberta,0.8828839498,0.8456316578,0.8732770531,0.8474452297,0.8817973810,0.8817994614,0.8714793489,0.8752212350,0.8930205043,0.8675870891,
pang_movie,no-is,0.0,roberta,0.8641978015,0.8667917448,0.8319773311,0.8939961544,0.8513113151,0.8874280585,0.8655212356,0.8665432360,0.8864906582,0.8742805040,
pang_movie,sublinear-ae-is,0.24994268119325308,roberta,0.8698500732,0.8799143855,0.8733091825,0.8780277426,0.8685638193,0.8760609231,0.8750311809,0.8817907232,0.8920401756,0.8653530378,
reuters90,adaptive-cluster-is,0.41819141909981655,roberta,0.4322763022,0.3426028626,0.3934354569,0.3610186438,0.4225401960,0.3952874065,0.4932764262,0.4130764056,0.4080815990,0.4435087053,
reuters90,adaptive-perplexity,0.4137733393474242,roberta,0.4184793651,0.3195220926,0.4113076962,0.3987928282,0.4324210890,0.4137927060,0.4596103698,0.4176276123,0.4539730746,0.4429022162,
reuters90,autoencoder-is,0.24988540742707507,roberta,0.4448077455,0.3518031191,0.3870288659,0.3998927048,0.4275991247,0.3983266963,0.4498670859,0.4391796508,0.4258133634,0.4510239885,
reuters90,biois,0.39306925329033093,roberta,0.4194722681,0.3464373517,0.3608850595,0.3384235607,0.4133260578,0.3650797720,0.4296442401,0.4107223359,0.4131637810,0.4453773878,
reuters90,entropy-sublinear-ae-is,0.24226558673055637,roberta,0.4333902152,0.3503156206,0.3906992130,0.3742010827,0.4228570634,0.3876209914,0.4835746640,0.4319131640,0.4025739813,0.4424360855,
reuters90,gmm-is,0.2999341166680657,roberta,0.4567468000,0.3547735501,0.3984327881,0.3876911028,0.4323991847,0.4133094246,0.5012396278,0.4306390212,0.4026518704,0.4491863989,
reuters90,no-is,0.0,roberta,0.4387353714,0.3721227874,0.4042513178,0.3915058118,0.4426243558,0.3844550600,0.4478445233,0.4329985097,0.4497480723,0.4465501835,
reuters90,sublinear-ae-is,0.24993538058599013,roberta,0.4285292343,0.3437714629,0.3762453779,0.3589343905,0.4472646579,0.3688071065,0.4679705990,0.4354703640,0.4018376368,0.4407966232,
sst1,adaptive-cluster-is,0.42251260670514645,roberta,0.5128974737,0.5208885083,0.5146047976,0.5132962332,0.4708593841,0.5011345886,0.4769412343,0.5188027351,0.4903768272,0.4882948859,
sst1,adaptive-perplexity,0.35632406969082353,roberta,0.5093187234,0.5035212661,0.5162491618,0.5196973933,0.4810177372,0.4917781391,0.5098592070,0.5027208411,0.5226107548,0.5144385081,
sst1,autoencoder-is,0.24996485363484655,roberta,0.5178673357,0.5516065585,0.4692206734,0.5232127157,0.5035617631,0.4927488176,0.5031734973,0.5345698463,0.5107548024,0.4857217101,
sst1,biois,0.5121326956682303,roberta,0.4933414975,0.5122387592,0.4955054508,0.5164831799,0.4873348307,0.4949630653,0.4870443763,0.5249907816,0.5317955603,0.4843029549,
sst1,entropy-sublinear-ae-is,0.29860802034606476,roberta,0.5162675401,0.5268018932,0.5341215502,0.5035041456,0.5230451993,0.4820606955,0.4864134873,0.5208728857,0.5383651627,0.4922050754,
