dataset,method,time_mean,time_error,time_n,reduction_mean,reduction_error,reduction_n
wos11967,autoencoder-is,14.081190967559815,1.1076376618262689,10,0.2998987963053238,9.62148173894543e-06,10
wos11967,biois,127.86215875148773,4.855352286234849,10,0.3291366161087834,0.00034263880905698073,10
wos11967,gmm-is,45.488747382164,8.621308375252468,10,0.2998987963053238,9.62148173894543e-06,10
wos11967,no-is,0.007734107971191406,0.0018403354808150729,10,0.0,0.0,10
wos11967,perplexity-is,7.759382176399231,0.7373034807969034,10,0.2998987963053238,9.62148173894543e-06,10
wos5736,adaptive-cluster-is,4.338310241699219,0.535280515193152,10,0.4093641701304614,0.0066682203056032605,10
wos5736,adaptive-perplexity,5.015058588981629,0.7097522235345346,10,0.2773899058083465,0.03388768026078931,10
wos5736,adaptive-v2-perplexity,4.990067887306213,0.7293655072720678,10,0.38301944370214464,0.0015173347149381085,10
wos5736,autoencoder-is,7.09548704624176,1.1333822262869127,10,0.2998605326863431,2.1456455060487064e-05,10
wos5736,biois,114.22806644439697,30.309687948219494,10,0.30698900463262613,0.0005357951855759366,10
wos5736,gmm-is,24.178559517860414,9.349062248054475,10,0.2998605326863431,2.1456455060487064e-05,10
wos5736,no-is,0.0037965774536132812,0.0005185510802624393,10,0.0,0.0,10
wos5736,perplexity-is,5.443384385108947,0.8459784358869176,10,0.2998605326863431,2.1456455060487064e-05,10
yelp_2013,adaptive-perplexity,178.9133177757263,4.381443077279659,5,0.31804186624007,0.006314269515248782,5
yelp_2013,adaptive-v2-perplexity,179.35087461471556,3.80763546677362,5,0.3828436084940636,0.0004249966481236651,5
yelp_2013,biois,456.709065580368,42.35952976049316,5,0.44650138165093173,0.0004283653396518483,5
yelp_2013,no-is,0.17221217155456542,0.025114682790461255,5,0.0,0.0,5
yelp_2013,perplexity-is,182.55992255210876,8.975171776878065,5,0.2999965673462813,1.776259580524418e-06,5
yelp_reviews,adaptive-cluster-is,3.6658093452453615,0.4593315565266759,10,0.44566666666666666,0.011062037081369058,10
yelp_reviews,adaptive-perplexity,4.982388377189636,0.637811024594156,10,0.4286888888888889,0.001390807737127789,10
yelp_reviews,adaptive-v2-perplexity,4.732955503463745,0.7703692849273018,10,0.3842888888888889,0.00013087416479698778,10
yelp_reviews,autoencoder-is,5.947426652908325,0.75621998850462,10,0.3,0.0,10
yelp_reviews,biois,24.523613810539246,20.905259733346277,10,0.28355555555555556,0.0006949494716796314,10
yelp_reviews,gmm-is,32.62570493221283,9.942969496636266,10,0.3,0.0,10
yelp_reviews,no-is,0.0035478830337524413,0.0006431782898014229,10,0.0,0.0,10
yelp_reviews,perplexity-is,4.731655573844909,0.7301273296735146,10,0.3,0.0,10
