dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
pang_movie,entropy-sublinear-ae-is,0.2935761617371841,modernbert,395.42,449.07,383.08,390.68,395.36,379.29,398.99,392.58,399.75,392.52,
pang_movie,entropy-sublinear-ae-is,0.2935761617371841,roberta,295.26,332.02,284.02,345.78,349.76,281.34,353.81,290.56,296.19,347.65,
pang_movie,gmm-is,0.299818671840805,roberta,370.29,310.24,310.18,310.12,309.81,369.25,369.13,369.09,370.59,309.78,
pang_movie,no-is,0.0,modernbert,543.01,540.36,540.48,540.54,541.40,541.54,541.47,542.08,541.65,541.37,
pang_movie,no-is,0.0,roberta,424.26,423.09,423.12,422.92,423.09,423.02,423.22,423.20,422.85,507.76,
pang_movie,sublinear-ae-is,0.24994268119325308,modernbert,414.59,412.85,413.35,413.60,493.95,494.54,415.83,413.19,413.74,494.48,
pang_movie,sublinear-ae-is,0.24994268119325308,roberta,369.76,307.09,308.61,306.28,306.35,365.94,306.31,306.32,367.66,306.24,
reuters90,adaptive-cluster-is,0.41819141909981655,roberta,513.21,373.75,450.80,493.99,456.48,433.79,504.40,435.79,501.41,568.19,
reuters90,adaptive-perplexity,0.4137733393474242,roberta,507.13,443.39,498.24,562.09,498.54,500.93,509.00,502.48,564.95,570.47,
reuters90,autoencoder-is,0.24988540742707507,modernbert,621.98,719.70,618.58,618.50,619.49,621.35,722.48,619.82,619.87,723.40,
reuters90,autoencoder-is,0.24988540742707507,roberta,532.92,680.73,531.86,608.78,607.83,607.21,534.01,607.96,607.91,609.71,
reuters90,biois,0.39306925329033093,modernbert,774.31,772.01,773.70,855.73,857.84,854.89,774.02,772.83,857.24,776.34,
reuters90,biois,0.39306925329033093,roberta,796.60,729.50,731.27,795.90,730.01,729.63,795.62,665.74,797.44,730.39,
reuters90,entropy-sublinear-ae-is,0.24226558673055637,modernbert,639.21,714.46,723.90,634.21,626.62,623.91,622.17,626.92,627.25,630.49,
reuters90,entropy-sublinear-ae-is,0.24226558673055637,roberta,702.64,675.75,685.88,695.85,614.69,689.23,682.55,616.52,688.78,542.07,
reuters90,gmm-is,0.2999341166680657,roberta,608.15,606.35,459.35,755.48,608.18,611.38,534.71,610.26,534.96,535.40,
reuters90,no-is,0.0,modernbert,813.16,946.47,812.08,812.27,949.32,812.87,814.87,814.64,817.08,952.22,
reuters90,no-is,0.0,roberta,740.97,844.72,845.41,740.13,847.76,741.10,744.44,848.25,850.24,744.62,
reuters90,sublinear-ae-is,0.24993538058599013,modernbert,618.74,617.48,618.25,618.09,618.86,723.39,723.65,620.13,622.75,620.45,
reuters90,sublinear-ae-is,0.24993538058599013,roberta,608.08,755.05,606.41,531.66,607.22,684.47,760.19,533.24,609.36,534.00,
sst1,adaptive-cluster-is,0.42251260670514645,roberta,277.82,331.09,337.94,339.84,338.58,277.86,279.28,333.23,271.24,282.43,
sst1,adaptive-perplexity,0.35632406969082353,roberta,372.34,311.02,309.11,305.81,367.17,306.98,364.59,364.86,367.33,311.16,
sst1,autoencoder-is,0.24996485363484655,modernbert,459.33,549.61,459.32,548.42,458.29,458.36,458.41,460.22,461.74,460.74,
sst1,autoencoder-is,0.24996485363484655,roberta,409.04,406.89,341.12,339.65,406.53,406.78,340.18,405.92,339.82,339.59,
sst1,biois,0.5121326956682303,modernbert,363.57,304.80,361.85,361.18,361.43,304.27,302.24,360.58,363.03,303.18,
sst1,biois,0.5121326956682303,roberta,241.23,284.97,287.17,239.14,241.04,285.22,238.55,284.52,238.51,239.18,
sst1,entropy-sublinear-ae-is,0.29860802034606476,modernbert,493.83,427.99,447.04,426.81,445.57,498.27,423.06,440.36,499.50,441.38,
sst1,entropy-sublinear-ae-is,0.29860802034606476,roberta,365.42,378.62,333.28,379.75,394.23,370.02,312.59,325.86,374.33,390.93,
sst1,gmm-is,0.29992033432002585,roberta,408.60,342.25,344.71,407.82,407.24,407.61,407.39,407.58,407.47,341.50,
sst1,no-is,0.0,modernbert,605.33,601.90,602.34,601.94,601.01,603.76,600.97,603.48,722.79,601.24,
sst1,no-is,0.0,roberta,565.34,470.16,470.64,470.33,564.14,470.76,565.53,471.66,566.36,470.73,
sst1,sublinear-ae-is,0.2499648545132861,modernbert,552.15,458.66,459.76,459.65,459.76,459.70,458.87,459.10,460.37,462.16,
sst1,sublinear-ae-is,0.2499648545132861,roberta,342.92,339.79,340.08,406.43,340.19,406.39,406.59,406.73,407.49,340.96,
sst2,adaptive-cluster-is,0.4286324719180565,roberta,273.39,269.94,223.38,223.03,230.81,267.48,270.12,217.95,229.12,307.05,
sst2,adaptive-perplexity,0.36035696636718684,roberta,346.66,296.76,245.93,300.56,247.43,245.28,297.26,247.38,248.46,245.27,
sst2,autoencoder-is,0.24989308529720827,modernbert,373.38,446.23,373.61,371.77,445.88,371.75,372.48,371.90,445.66,372.30,
sst2,autoencoder-is,0.24989308529720827,roberta,330.46,330.60,329.30,329.27,275.39,275.50,383.19,275.68,275.43,331.11,
sst2,biois,0.32148596473311164,modernbert,332.18,331.65,397.41,331.09,331.52,333.51,331.58,332.66,331.68,401.18,
sst2,biois,0.32148596473311164,roberta,311.86,362.87,310.75,311.00,259.68,261.08,311.44,311.66,258.92,259.99,
sst2,entropy-sublinear-ae-is,0.29854270600011873,modernbert,339.95,420.65,348.83,351.72,344.32,353.10,354.45,348.28,350.44,354.95,
sst2,entropy-sublinear-ae-is,0.29854270600011873,roberta,251.58,311.57,258.74,260.53,304.96,312.68,262.84,255.96,259.82,312.29,
sst2,gmm-is,0.2999410528891098,roberta,339.62,282.91,282.67,282.76,284.04,282.76,282.78,282.49,282.78,283.97,
sst2,no-is,0.0,modernbert,489.41,490.81,488.10,488.62,488.53,487.45,487.73,489.38,488.26,490.13,
sst2,no-is,0.0,roberta,460.89,533.80,457.16,533.44,381.17,383.55,381.44,381.32,381.55,457.45,
sst2,sublinear-ae-is,0.24995087807560804,modernbert,374.36,374.30,372.47,373.19,446.08,373.42,372.57,372.66,375.09,372.59,
sst2,sublinear-ae-is,0.24995087807560804,roberta,331.33,330.22,276.30,329.99,331.93,276.34,330.16,330.28,276.81,276.33,
subj,adaptive-cluster-is,0.4215777777777778,roberta,319.31,239.98,242.67,275.11,242.20,273.79,281.81,276.95,339.02,288.76,
subj,adaptive-perplexity,0.35863333333333336,roberta,310.13,310.28,309.28,307.32,305.43,409.93,360.41,259.22,309.87,361.52,
subj,autoencoder-is,0.24988888888888888,modernbert,387.70,386.71,390.02,386.78,462.71,387.56,387.41,386.68,388.48,386.72,
subj,autoencoder-is,0.24988888888888888,roberta,345.53,342.26,344.11,286.64,344.82,286.64,288.96,398.48,288.78,454.31,
subj,biois,0.2891,modernbert,435.60,362.82,361.41,433.98,433.20,505.69,433.67,360.88,433.76,433.45,
subj,biois,0.2891,roberta,340.72,282.45,397.19,508.35,395.25,338.97,338.82,282.16,339.63,508.31,
subj,entropy-sublinear-ae-is,0.26332222222222224,modernbert,448.99,375.59,386.40,458.30,380.04,381.35,390.52,447.48,391.90,454.45,
subj,entropy-sublinear-ae-is,0.26332222222222224,roberta,281.75,278.14,341.92,336.83,391.28,337.74,288.35,330.11,401.66,334.77,
subj,gmm-is,0.3,roberta,405.08,346.45,290.97,290.69,346.05,290.65,346.40,347.29,346.37,401.85,
subj,no-is,0.0,modernbert,509.22,508.42,510.93,507.59,507.05,507.92,507.01,510.79,507.45,507.75,
subj,no-is,0.0,roberta,399.27,396.58,556.12,476.40,556.67,397.52,475.70,556.14,476.09,634.98,
subj,sublinear-ae-is,0.24993333333333334,modernbert,465.01,387.47,464.12,464.34,463.49,463.40,388.11,464.25,387.65,387.55,
subj,sublinear-ae-is,0.24993333333333334,roberta,345.70,343.22,343.21,400.26,287.40,399.24,345.58,343.29,287.48,343.54,
trec,adaptive-cluster-is,0.39699061330209034,roberta,177.16,233.57,202.12,177.89,143.79,147.57,172.59,204.75,264.23,204.56,
trec,adaptive-perplexity,0.30941973140194867,roberta,171.56,162.78,200.97,161.13,201.03,163.40,227.20,206.72,266.31,190.90,
trec,autoencoder-is,0.2497759870559456,modernbert,276.67,275.92,366.32,230.62,367.20,275.92,366.32,323.56,275.98,277.92,
trec,autoencoder-is,0.2497759870559456,roberta,205.36,204.95,273.56,237.64,239.91,273.17,237.87,239.87,204.53,204.39,
