dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
subj,adaptive-perplexity,0.35863333333333336,roberta,310.13,310.28,309.28,307.32,305.43,409.93,360.41,259.22,309.87,361.52,
subj,autoencoder-is,0.3,roberta,451.40,340.70,395.18,339.74,395.19,340.05,339.50,284.89,284.19,284.22,
subj,biois,0.2891,roberta,340.72,282.45,397.19,508.35,395.25,338.97,338.82,282.16,339.63,508.31,
subj,entropy-sublinear-ae-is,0.26332222222222224,roberta,281.75,278.14,341.92,336.83,391.28,337.74,288.35,330.11,401.66,334.77,
subj,gmm-is,0.3,roberta,405.08,346.45,290.97,290.69,346.05,290.65,346.40,347.29,346.37,401.85,
subj,no-is,0.0,roberta,399.27,396.58,556.12,476.40,556.67,397.52,475.70,556.14,476.09,634.98,
subj,sublinear-ae-is,0.34983333333333333,roberta,348.27,249.91,250.19,298.32,298.32,299.16,249.96,250.01,298.20,395.40,
trec,adaptive-cluster-is,0.39699061330209034,roberta,177.16,233.57,202.12,177.89,143.79,147.57,172.59,204.75,264.23,204.56,
trec,adaptive-perplexity,0.30941973140194867,roberta,171.56,162.78,200.97,161.13,201.03,163.40,227.20,206.72,266.31,190.90,
trec,autoencoder-is,0.2998058559131903,roberta,203.51,171.80,235.33,235.47,171.57,235.68,235.49,169.41,169.33,268.56,
trec,biois,0.3634633124695125,roberta,185.04,273.50,153.68,275.19,213.47,183.67,214.36,183.90,214.16,213.69,
trec,entropy-sublinear-ae-is,0.23934044962632908,roberta,246.62,207.13,247.27,235.51,210.57,278.00,239.63,242.28,277.88,232.72,
trec,gmm-is,0.2998058559131903,roberta,238.12,236.87,172.59,335.70,236.93,204.97,205.25,206.08,204.28,236.80,
trec,no-is,0.0,roberta,284.71,283.41,284.94,331.97,377.60,285.59,330.99,377.59,330.43,283.54,
trec,sublinear-ae-is,0.34976105262732327,roberta,247.96,178.31,178.39,207.75,178.29,207.62,178.27,178.34,178.27,207.15,
twitter,adaptive-cluster-is,0.4142565103183665,roberta,208.30,266.85,205.74,197.97,201.72,198.06,201.10,174.02,195.37,190.64,
twitter,adaptive-perplexity,0.33534999023916834,roberta,223.38,187.60,185.64,223.39,224.65,225.32,191.36,223.08,186.79,224.95,
twitter,autoencoder-is,0.29985866588116056,roberta,241.16,199.53,239.63,199.36,200.79,238.14,200.92,199.46,238.79,238.00,
