dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
pang_movie,biois,0.3708601396784481,roberta,0.8885688659,0.8808620958,0.8780483512,0.8827391088,0.8883668457,0.8846030971,0.8695866085,0.8742428724,0.8921154230,0.8864890600,
pang_movie,gmm-is,0.299818671840805,roberta,0.8809858704,0.8845925338,0.8789091841,0.8827308530,0.8798907073,0.8674497665,0.8826936875,0.8827159896,0.8883668457,0.8986692015,
pang_movie,no-is,0.0,roberta,0.8875836807,0.8864074891,0.8986863225,0.8846071594,0.8827093825,0.8968105066,0.8958649975,0.8846152831,0.8930547733,0.8975971093,
pang_movie,perplexity-is,0.299818671840805,roberta,0.8856378497,0.8789560827,0.8930581614,0.8703793774,0.8731707317,0.8844607366,0.8883511253,0.8780487805,0.8796385487,0.8930566556,
reuters90,adaptive-perplexity,0.299123574866918,roberta,0.4173540676,0.3416560859,0.3815946208,0.3702930830,0.4208489861,0.3828899879,0.4725305586,0.4163355539,0.4313509694,0.4364113546,
reuters90,adaptive-v2-perplexity,0.3818899860974089,roberta,0.4378679820,0.3446006739,0.3759413122,0.3382790102,0.4104367009,0.3690022292,0.4460527598,0.4412624251,0.3946189751,0.4554830958,
reuters90,autoencoder-is,0.2999507820719703,roberta,0.4159962836,0.2870724089,0.3813047688,0.3625846736,0.4250430126,0.3742085621,0.4375537969,0.4058808691,0.4045303370,0.4225142277,
reuters90,biois,0.40416609843338325,roberta,0.4142824352,0.3257716407,0.3752167027,0.3643879559,0.4284476985,0.3617941167,0.4464465671,0.4309557069,0.4109855410,0.4098969390,
reuters90,gmm-is,0.2999507820719703,roberta,0.4554050545,0.3085357959,0.3823473919,0.3520789465,0.4153377674,0.3624129529,0.4665452245,0.3888679569,0.4355121543,0.4732629742,
reuters90,no-is,0.0,roberta,0.4487477913,0.3709424051,0.3970794611,0.3662036286,0.4524154964,0.4001208715,0.4628797222,0.4443097146,0.4426199161,0.4438449533,
reuters90,perplexity-is,0.29993413205532027,roberta,0.4396572658,0.3366642699,0.3637130000,0.3597571772,0.4318459900,0.3591562747,0.4413273536,0.4216048614,0.4119490935,0.4316732958,
sst1,adaptive-perplexity,0.3631005128944819,roberta,0.5220762069,0.5580952560,0.5275774670,0.5297414040,0.5217041645,0.5233392665,0.5317386915,0.5448115624,0.5327801270,0.5362282704,
sst1,adaptive-v2-perplexity,0.3853320207104415,roberta,0.5291976704,0.5249171268,0.5199222571,0.5322230391,0.5404711588,0.5331058390,0.5355393712,0.5367914319,0.5256431260,0.5132087297,
sst1,autoencoder-is,0.29992033432002585,roberta,0.5195870355,0.5472957202,0.5273879209,0.5215214715,0.5272060389,0.5212787823,0.5016267143,0.5064762595,0.5497637221,0.4988251338,
sst1,biois,0.5540465509697401,roberta,0.5155944516,0.5341115207,0.5292475554,0.5322725152,0.5011521000,0.5222089585,0.5345931885,0.5147602661,0.5399221784,0.4971354834,
sst1,gmm-is,0.29992033432002585,roberta,0.5323285722,0.5335786626,0.5240804910,0.5205444080,0.5180763537,0.5180739382,0.5319014715,0.5486098143,0.5357477432,0.5259092481,
sst1,no-is,0.0,roberta,0.5349480120,0.5593965690,0.5455799839,0.5536902292,0.5394307080,0.5128455521,0.5275750897,0.5488079739,0.5457930479,0.5270174024,
sst1,perplexity-is,0.29992033432002585,roberta,0.5053214014,0.5314414404,0.5410262636,0.5416281946,0.5267206146,0.5215826902,0.5017346034,0.5453596436,0.5546059435,0.5019700431,
sst2,adaptive-perplexity,0.37520971442402046,roberta,0.9239500162,0.9113734034,0.9385881485,0.9207260950,0.9229947937,0.9322561999,0.9302035671,0.9219549434,0.9311837617,0.9248318298,
sst2,adaptive-v2-perplexity,0.38565830994073197,roberta,0.9155440667,0.9261084756,0.9291224603,0.9175883641,0.9132468662,0.9259772370,0.9291463912,0.9311706182,0.9405838461,0.9269693417,
sst2,autoencoder-is,0.2999410528891098,roberta,0.9291657463,0.9136070563,0.9281439070,0.9281098047,0.9281885947,0.9154652879,0.9323046545,0.9281549821,0.9406363894,0.9416499692,
sst2,biois,0.35933974292481025,roberta,0.9271817364,0.9219665089,0.9292034632,0.9249414215,0.9240108016,0.9238474757,0.9301599595,0.9124878582,0.9374821099,0.9384253332,
